タイトル,動画URL,再生回数,チャンネル登録者数,再生回数/チャンネル登録者数,登録日付
"Tặng Quà Mừng Sn Bác ,chớp Vàng Đỏ,redbull 5%,pen 0795757000",https://www.youtube.com/watch?v=X4Q7mjZRBjg,2927,23600,12,2021/05/19
Anderson Pens Podcast 395,https://www.youtube.com/watch?v=a7Cp8-WuOts,506,7780,6,2021/05/19
Which Fountain Pen Is The Best Engineered - Part 2!,https://www.youtube.com/watch?v=6iK2E4wAN_g,488,1180,41,2021/05/19
Montblanc Meisterstück LeGrande 146 fountain pen,https://www.youtube.com/watch?v=HM_sQPVeG4Y,263,1460,18,2021/05/19
Tornado 2000x + By Spin verse. || Pen Spinning ||,https://www.youtube.com/watch?v=iz5WD4Ruw6s,67,283,23,2021/05/19
DULUNYA UKHTI INI SEORANG..?? SUNGGUH INDAH CIPTAAN TUHAN JADI PEN NGAJAK TA&#39;ARUF 😍,https://www.youtube.com/watch?v=5Mi893KC6Zw,627,6660,9,2021/05/19
AI®PEN/Starting point(Music Video),https://www.youtube.com/watch?v=LKxplQk7Ybw,543,1500,36,2021/05/19
Creating a Frankenpen Fountain Pen with a Karas Kustoms Vertex and 3776 Music Nib,https://www.youtube.com/watch?v=fUFN8hQ8yYk,268,2570,10,2021/05/19
Son phli(4) a film pen ekai chelar si nang,https://www.youtube.com/watch?v=2vqxZdqfFOw,111,146,76,2021/05/19
GOAT ESCAPES THE BREEDING PEN! DID she get PREGNANT? NOT a  GOOD MATCH? GOATS WERE TERRIFIED!,https://www.youtube.com/watch?v=47VO3tvebRo,1859,10300,18,2021/05/19
Diphu along Lockdown ahut curfew  pen arengkeso,https://www.youtube.com/watch?v=iaV_wPypTB0,409,49,834,2021/05/19
Electric shock pen prank on Wife in Tamil l prank on Wife l Couple Prank in Tamil l,https://www.youtube.com/watch?v=aroUDYvQBro,6335,11900,53,2021/05/19
How to Organize Pens and Stationery: 3 Organization Ideas that Actually Work,https://www.youtube.com/watch?v=1NsF5EBqNT8,32092,517000,6,2021/05/18
